               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10737,            0.035251,                   0,            0.033065,                0.55,            0.091735,            0.035037,            0.092187,            0.022081,                   0,               0.082,               0.002,               0.002
                   1,            0.085369,            0.036244,                   0,              0.0041,             0.87857,            0.092528,            0.038851,            0.071023,            0.019296,                   0,            0.063019,           0.0040188,           0.0040188
                   2,            0.068699,            0.038421,                   0,           0.0043667,             0.93571,            0.097394,            0.024736,            0.062018,            0.018415,                   0,            0.043954,           0.0059545,           0.0059545
                   3,             0.06032,            0.039586,                   0,            0.042907,             0.75714,              0.2795,             0.10325,            0.063537,            0.020171,                   0,            0.024807,            0.007807,            0.007807
                   4,            0.056436,            0.038334,                   0,             0.13811,                0.55,             0.24585,             0.11592,            0.053027,            0.022108,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.054316,            0.039246,                   0,             0.52544,             0.48571,             0.49959,             0.27521,            0.056608,            0.019481,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.049699,            0.038337,                   0,             0.79026,             0.43063,             0.59947,             0.34718,            0.050401,            0.015786,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.047313,             0.03763,                   0,             0.60126,             0.44161,             0.55076,             0.25522,            0.055076,            0.016559,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.045251,            0.034741,                   0,             0.71588,                 0.4,             0.52333,             0.31812,            0.055334,             0.01492,                   0,            0.008614,            0.008614,            0.008614
                   9,             0.04376,            0.033869,                   0,             0.73687,             0.52857,              0.6898,             0.36484,            0.046174,            0.014082,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.040729,            0.033533,                   0,             0.81393,             0.49286,             0.68496,             0.36713,            0.043307,             0.01421,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.039997,            0.032425,                   0,             0.83335,             0.60722,             0.75346,             0.40884,            0.043415,            0.013103,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.040322,            0.032007,                   0,             0.70513,                 0.6,             0.72492,             0.36141,            0.046465,            0.013558,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.037435,            0.032236,                   0,             0.76627,             0.73571,             0.82878,             0.45768,            0.036145,            0.014251,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.034961,             0.03007,                   0,             0.82921,             0.73571,             0.86777,             0.50568,            0.039848,            0.012088,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.036872,            0.029539,                   0,             0.73836,             0.68571,             0.77231,             0.44822,            0.036714,            0.011026,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.03469,            0.030625,                   0,             0.76737,                 0.8,             0.86229,             0.54973,            0.033741,            0.011286,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.034381,            0.028537,                   0,             0.87613,             0.80833,             0.90847,             0.61388,            0.034904,            0.011502,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.031664,            0.027719,                   0,             0.91103,             0.84286,             0.94619,             0.60885,            0.034256,            0.011178,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.033339,             0.02808,                   0,             0.92862,             0.83639,             0.93817,             0.59917,            0.031669,            0.010832,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.032138,            0.027354,                   0,             0.91769,             0.81429,              0.9315,             0.61346,            0.033947,            0.010702,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.030742,            0.027622,                   0,             0.88967,             0.86429,             0.93205,             0.61085,             0.03097,            0.010294,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.029705,            0.026715,                   0,             0.87931,             0.83265,             0.90336,             0.59626,            0.030318,            0.010563,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.029922,            0.026479,                   0,             0.92501,             0.88113,             0.95733,             0.60477,             0.02896,            0.009801,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.028422,            0.026608,                   0,             0.93032,             0.87143,             0.96053,             0.64412,            0.028445,           0.0097285,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.027696,             0.02656,                   0,             0.95464,             0.87857,             0.96119,             0.66292,            0.026873,           0.0092231,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.027927,            0.025919,                   0,             0.94821,              0.9155,             0.96635,             0.69066,            0.027495,           0.0094619,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.027017,            0.026357,                   0,             0.97816,             0.90714,             0.97222,             0.69899,            0.025526,           0.0088608,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.026217,            0.026511,                   0,             0.92613,             0.89555,             0.95634,             0.71284,            0.027104,           0.0087448,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.026393,            0.025773,                   0,             0.91956,             0.93571,             0.96836,             0.65288,            0.026704,           0.0090703,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.024854,            0.026114,                   0,             0.94012,             0.90714,             0.96896,             0.67777,            0.026183,            0.008888,                   0,            0.004258,            0.004258,            0.004258
                  31,             0.02471,            0.025237,                   0,             0.90813,             0.91789,             0.97213,             0.67414,            0.025385,           0.0092121,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.024808,            0.024872,                   0,             0.92226,                0.85,             0.94824,             0.67487,            0.024931,           0.0097842,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.024315,            0.025029,                   0,             0.97707,             0.91293,             0.97005,             0.71866,            0.024028,           0.0089662,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.024018,             0.02519,                   0,             0.94096,             0.91073,             0.96335,             0.68763,            0.023779,           0.0087884,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.023429,            0.024134,                   0,             0.96398,             0.89286,             0.96878,             0.70994,            0.024397,           0.0086716,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.022566,            0.025058,                   0,             0.95427,             0.89437,             0.97443,             0.69246,            0.025745,           0.0087826,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.021799,            0.024588,                   0,             0.95542,             0.91856,              0.9751,             0.72948,            0.024406,            0.008948,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.022228,             0.02446,                   0,             0.97039,             0.93646,             0.97871,             0.74394,             0.02358,           0.0083714,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.022546,            0.024445,                   0,             0.97288,             0.92857,             0.97888,             0.72798,            0.024551,           0.0086316,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.020728,             0.02341,                   0,             0.98152,             0.92857,             0.97871,             0.73847,            0.022506,           0.0085281,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.021056,            0.024571,                   0,             0.97158,             0.92143,             0.97653,             0.75271,            0.021734,           0.0083913,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.01985,            0.023717,                   0,             0.95323,             0.92857,             0.97326,             0.72498,             0.02283,           0.0082109,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.020523,            0.023886,                   0,             0.96129,             0.94286,             0.97847,             0.74352,            0.021264,           0.0084519,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.019795,             0.02302,                   0,             0.97929,             0.92857,             0.97877,             0.74922,            0.020929,           0.0086352,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.019416,            0.024031,                   0,             0.95871,             0.95714,             0.97844,             0.73944,            0.022691,           0.0085897,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.018806,            0.022237,                   0,             0.95306,             0.94286,             0.98013,             0.76582,            0.021193,           0.0084274,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.018561,            0.021892,                   0,             0.97743,             0.92784,             0.97421,             0.77095,            0.020697,           0.0083563,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.018808,            0.023397,                   0,             0.97058,             0.94258,             0.97567,             0.75812,            0.020307,           0.0085675,                   0,            0.000694,            0.000694,            0.000694
                  49,             0.01861,            0.022505,                   0,             0.97332,             0.94286,             0.97475,              0.7669,             0.01995,           0.0084977,                   0,            0.000496,            0.000496,            0.000496
